id,post/keyword,comment/tweet,username,like count,replied to,reply count,2nd level comment/ reply,time created,majority_sent,majority_sarc,lang_id
28987,Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,sius la awk..bnjir sana..kwn xckp ape pon??,iedaperakiedapera,1,---,1,No,29/8/2022,neutral,notsarc,my
28988,Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,"srikota, taman sg mas, air kuning semua banjir yg mana dekat dengan sungai",azrulazim352,0,iedaperakiedapera,---,Yes,29/8/2022,neutral,notsarc,my
28989,Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,massyaallah.. . dasyatnya bnjir kali nie kawan.. . hurmmm.. .,danielsempoy,2,---,1,No,29/8/2022,negative,notsarc,my
28990,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Simpang p papar kan?,_kim_0127,2,---,0,No,2d ago ,neutral,notsarc,my
28991,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,nasib baik lah sempat limpas,gabriell62281,1,---,0,No,2d ago ,positive,notsarc,my
28992,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,tadi jam 4 ptg,stevenchang8117,1,---,0,No,2d ago ,neutral,notsarc,my
28993,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,baru jga sya limpas sini tdi ptang jam 3 seblum banjir,user2026162444904,1,---,0,No,2d ago ,neutral,notsarc,my
28994,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,nasib dapat limpas tadi.di sabindo pun banjir juga tu pertronas..,ariff_jack79,2,---,0,No,2d ago ,neutral,notsarc,my
28995,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Na mcm mn mulik?,betloureyga,1,---,0,No,2d ago ,neutral,notsarc,my
28996,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,semoga kita semua dilindugi oleh allah aamiinn hati2 sahabat bila banjir ni sahabat,mearychuabdullah,1,---,0,No,2d ago ,positive,notsarc,my
28997,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Adui dulu selalu tda banjir gitu ba kan..,oyolsrokots,1,---,0,No,2d ago ,negative,notsarc,my
28998,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,sabah kawasan kota Kinabalu,abduljalilasmarah64gmail,0,shaharudin_mahmoh73,---,Yes,2d ago ,neutral,notsarc,my
28999,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,be safe ok??????,nikkinikki6437,1,---,0,No,2d ago ,positive,notsarc,en
29000,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,astaga...baru Kita mahu balik papar..,paparnaratu8686,1,---,0,No,2d ago ,neutral,notsarc,my
29001,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,bila benoni ada suda bangunan tinggi macam kl ya,vunssss,0,---,0,No,1d ago ,negative,notsarc,my
29002,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Alala banjir ..stay safe guys,littlebugs23,1,---,0,No,2d ago ,positive,sarc,cm
