id,post/keyword,comment/tweet,username,like count,replied to,reply count,2nd level comment/ reply,time created,majority_sent,majority_sarc,lang_id
28987,Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,sius la awk..bnjir sana..kwn xckp ape pon??,33d2a31d-c13,1,---,1,No,29/8/2022,neutral,notsarc,my
28988,Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,"srikota, taman sg mas, air kuning semua banjir yg mana dekat dengan sungai",61957789-224,0,33d2a31d-c13,---,Yes,29/8/2022,neutral,notsarc,my
28989,Taiping Perak Banjir 28/08/2022 #azrulazim352 #fyp #fyp??viral #fy #foryou #CapCut #brrandatiktok #jacksparrow Publish: 28-8-2022,massyaallah.. . dasyatnya bnjir kali nie kawan.. . hurmmm.. .,cffa43d1-936,2,---,1,No,29/8/2022,negative,notsarc,my
28990,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Simpang p papar kan?,c3128b6f-2e5,2,---,0,No,2d ago ,neutral,notsarc,my
28991,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,nasib baik lah sempat limpas,813bbc92-ca2,1,---,0,No,2d ago ,positive,notsarc,my
28992,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,tadi jam 4 ptg,7fdce557-7e8,1,---,0,No,2d ago ,neutral,notsarc,my
28993,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,baru jga sya limpas sini tdi ptang jam 3 seblum banjir,9a515318-4e6,1,---,0,No,2d ago ,neutral,notsarc,my
28994,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,nasib dapat limpas tadi.di sabindo pun banjir juga tu pertronas..,60eabd75-67a,2,---,0,No,2d ago ,neutral,notsarc,my
28995,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Na mcm mn mulik?,45f53f3d-40d,1,---,0,No,2d ago ,neutral,notsarc,my
28996,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,semoga kita semua dilindugi oleh allah aamiinn hati2 sahabat bila banjir ni sahabat,4218765d-800,1,---,0,No,2d ago ,positive,notsarc,my
28997,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Adui dulu selalu tda banjir gitu ba kan..,15a72f07-35d,1,---,0,No,2d ago ,negative,notsarc,my
28998,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,sabah kawasan kota Kinabalu,62a4af2f-f85,0,99e7b493-9d9,---,Yes,2d ago ,neutral,notsarc,my
28999,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,be safe ok??????,00d98c2d-777,1,---,0,No,2d ago ,positive,notsarc,en
29000,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,astaga...baru Kita mahu balik papar..,40f9f71a-6c0,1,---,0,No,2d ago ,neutral,notsarc,my
29001,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,bila benoni ada suda bangunan tinggi macam kl ya,1e889d53-d5c,0,---,0,No,1d ago ,negative,notsarc,my
29002,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Alala banjir ..stay safe guys,1849f02e-f4a,1,---,0,No,2d ago ,positive,sarc,cm
29003,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,dlu nda pernah banjir baru ni kali.,16279533-066,1,---,0,No,2d ago ,negative,notsarc,my
29004,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,Astaga.kuat nya banjir,58255ac6-430,1,---,0,No,2d ago ,neutral,notsarc,my
29005,banjir simpang 4 benoni #banjir2022 Publish: 10/09/22,bulan sabalas lagi besarrrrrrrrr,ca2f0635-147,1,---,0,No,2d ago ,neutral,notsarc,my
