comment,label
sius la awk..bnjir sana..kwn xckp ape pon??,m
"srikota, taman sg mas, air kuning semua banjir yg mana dekat dengan sungai",m
massyaallah.. . dasyatnya bnjir kali nie kawan.. . hurmmm.. .,m
Simpang p papar kan?,m
nasib baik lah sempat limpas,m
tadi jam 4 ptg,m
baru jga sya limpas sini tdi ptang jam 3 seblum banjir,m
nasib dapat limpas tadi.di sabindo pun banjir juga tu pertronas..,m
Na mcm mn mulik?,m
semoga kita semua dilindugi oleh allah aamiinn hati2 sahabat bila banjir ni sahabat,m
Adui dulu selalu tda banjir gitu ba kan..,m
sabah kawasan kota Kinabalu,m
be safe ok??????,e
astaga...baru Kita mahu balik papar..,m
bila benoni ada suda bangunan tinggi macam kl ya,m
Alala banjir ..stay safe guys,c
dlu nda pernah banjir baru ni kali.,m
Astaga.kuat nya banjir,m
bulan sabalas lagi besarrrrrrrrr,m
TERBAIKKKK WARGA MALAYSIA.... MEMBERI SUMBANGAN....????????????????????????????,m
insyaallah kami akan menyusul raya ke 2 isnin nanti,m
"Alhamdulillah,moga dpermudahkan sgala urusan",m
Ni bukan yg sodok JPJ tu ke?... JPJ ada turun sekali x?????,m
alhamdulillah...bantuan sampai??????support??,m
Nak tanya JPJ ada dtg tolong x,m
Alhamdulillahhh moga dipermudah semua urusan pihak yg membantu dan pihak mangsa2,m
"bila satu negeri dilanda musibah, semua pakat2 bantu",m
Kalau tak ada jentera backheo payah nak bersihkan,m
mentepp.. ????????,m
Alhamdulillah rakyat Malaysia x duduk diam psti tlng.,m
suruh geng balak clearkan,c
Allahhuakbar Kesian nye dia org Semoga sabar byk2 dengan ujian allah,m
Semoga tabah menghadapi ujian ALLAH SWT ni,m
"harap bnykkan doa & b""sabar buat mngsa yg t""libat??????????????",m
Allah....smoga dpemudahkan urusan dan semoga selamat smuanya,m
"sungguh besar dugaan mangsa2, semoga dipermudahkan segala urusan mangsa2 semoga mereka tabah menghadapi dugaanNya",m
Allah hu Akhbar..moga dipmudahkn segala urusan..,m
dekat kampung ayah saya??..x dapat contact ayah,c
belah utara hujan terus ya...moga slmat semuanya aaminn,m
Semoga Allah gantikn yg lebeh baik kpd semua yg terlibat .. In Shaa Allah.,m
"dunia akhir zaman ,allah nak uji Kita ...semoga dipermudahkan setiap urusan orang2 yang terlibat dengan banjir ...amin ya mujib..",m
"Bersabar lh, hidup ini sedang di uji, klu bkn di uji, bkn ujian namanya...Semoga banjir cpt surut , moga di permudahkan urusan ??",m
Y ALLAH lju nye air..mcm kple air,m
kepala air turun,m
Tak masuk berita utama pun !,m
tk sampai 1thun 2 kali banjir kilat besar MCM tu sebab apa ya....,m
"knn,kasihan pada mereka yg kena.",m
hr ni tempat sy pn mendung jer tgh mlm tadi hujan shj,m
kesan projek musang king tu la..ambik masa lama gak nak pulih,m
MCM mn hujung bln 11 nnti taburan hujan lg bnyk,m
sian org kat sana,m
tak selamat dah kampung tu,m
tu la menteri yg kita ada sekarang.. dah tau tempat tu senang banjir tapi tetap goyang kaki,m
"menteri menteri no action taken sibuk kumpul duit untuk keluarga mereka, bagus, undi lagi untuk mereka teruskan",c
balik2 salahkan menteri bila bencana alam berlaku.menteri tau ke perkara nie berlaku??,m
saya 1991..dah duduk kat sri muda..sekarang dah pindah klang.sahabat beli rumah sendiri,m
"OK LA tu selamat la kiranya, saya sangkut lagi sini, office, business, tanah, rumah sendiri dan lain lain semua sini, no way out",c
kena bertabah sahabat..perkara banjir kita tak jangka.lagi2 melibatkan hujan yang lebat.pihak atasan macam2 buat atasi banjir yang tak tau bila datang,m
"Dah bnyk duit habis, bnyk lagi kereta rumah penduduk situ tersadai, mana yg mampu kita tolong antara manusia dan sesama Islam,Takbir Allahuakhbar",m
